iter	Passed	Remaining
0	146	146418
1	147	73496
2	147	49170
3	148	37015
4	149	29698
5	149	24842
6	150	21370
7	151	18764
8	151	16729
9	152	15109
10	153	13783
11	153	12674
12	154	11737
13	155	10935
14	155	10242
15	156	9634
16	157	9093
17	157	8614
18	158	8196
19	159	7813
20	160	7464
21	160	7147
22	161	6860
23	162	6597
24	162	6355
25	163	6133
26	164	5923
27	164	5727
28	165	5544
29	166	5375
30	166	5216
31	167	5068
32	168	4926
33	168	4796
34	169	4673
35	170	4557
36	170	4447
37	171	4344
38	172	4245
39	173	4155
40	173	4065
41	174	3981
42	175	3899
43	175	3822
44	176	3749
45	177	3677
46	177	3607
47	178	3546
48	179	3483
49	180	3424
50	180	3366
51	181	3311
52	182	3257
53	182	3204
54	183	3154
55	184	3107
56	185	3060
57	185	3015
58	186	2973
59	187	2934
60	188	2895
61	188	2856
62	189	2819
63	190	2782
64	191	2748
65	191	2714
66	192	2681
67	192	2644
68	193	2613
69	194	2582
70	195	2553
71	195	2525
72	196	2498
73	197	2469
74	198	2443
75	198	2416
76	199	2390
77	200	2365
78	200	2341
79	201	2317
80	202	2295
81	202	2271
82	203	2250
83	204	2231
84	205	2207
85	205	2187
86	206	2164
87	206	2143
88	207	2124
89	208	2105
90	208	2087
91	209	2070
92	210	2052
93	211	2035
94	211	2018
95	212	2001
96	213	1985
97	214	1970
98	214	1953
99	215	1938
100	216	1925
101	216	1907
102	217	1894
103	218	1881
104	219	1868
105	219	1853
106	220	1840
107	221	1826
108	221	1814
109	222	1801
110	223	1789
111	224	1777
112	224	1764
113	225	1752
114	226	1740
115	226	1727
116	227	1716
117	228	1705
118	228	1693
119	229	1682
120	230	1671
121	230	1661
122	231	1648
123	232	1639
124	232	1629
125	233	1620
126	234	1610
127	234	1598
128	235	1589
129	236	1580
130	236	1571
131	237	1561
132	238	1552
133	238	1543
134	239	1535
135	240	1525
136	240	1517
137	241	1508
138	242	1499
139	242	1491
140	243	1482
141	244	1474
142	244	1466
143	245	1458
144	246	1450
145	246	1443
146	247	1435
147	248	1429
148	248	1421
149	249	1414
150	250	1407
151	251	1400
152	251	1393
153	252	1385
154	252	1378
155	253	1371
156	254	1364
157	254	1358
158	255	1351
159	256	1344
160	256	1337
161	257	1331
162	258	1325
163	258	1318
164	259	1312
165	260	1306
166	260	1300
167	261	1294
168	262	1288
169	262	1283
170	263	1277
171	264	1271
172	264	1265
173	265	1260
174	266	1254
175	266	1249
176	267	1243
177	268	1237
178	268	1232
179	269	1227
180	269	1220
181	270	1215
182	271	1210
183	271	1204
184	272	1199
185	273	1194
186	273	1189
187	274	1185
188	275	1180
189	275	1176
190	276	1171
191	277	1167
192	278	1163
193	279	1159
194	279	1154
195	280	1150
196	281	1146
197	281	1141
198	282	1137
199	283	1132
200	283	1128
201	284	1123
202	284	1118
203	285	1114
204	286	1110
205	286	1105
206	287	1101
207	288	1097
208	288	1093
209	289	1089
210	290	1085
211	290	1080
212	291	1076
213	292	1072
214	292	1069
215	293	1065
216	294	1062
217	294	1058
218	295	1054
219	296	1050
220	296	1046
221	297	1042
222	298	1038
223	298	1034
224	299	1031
225	299	1027
226	300	1023
227	301	1019
228	301	1015
229	302	1012
230	303	1008
231	303	1005
232	304	1002
233	305	999
234	306	996
235	306	992
236	307	989
237	308	986
238	308	983
239	309	980
240	310	977
241	310	974
242	311	970
243	312	968
244	313	965
245	313	962
246	314	959
247	315	956
248	316	953
249	316	950
250	317	947
251	318	944
252	318	941
253	319	938
254	320	935
255	320	932
256	321	929
257	322	926
258	322	923
259	323	921
260	324	918
261	325	915
262	325	912
263	326	910
264	327	907
265	327	904
266	328	901
267	329	898
268	329	896
269	330	893
270	331	890
271	331	887
272	332	885
273	333	882
274	333	880
275	334	877
276	335	875
277	336	873
278	336	870
279	337	867
280	338	865
281	338	862
282	339	860
283	340	858
284	341	855
285	341	853
286	342	850
287	343	848
288	343	845
289	344	843
290	345	840
291	345	838
292	346	835
293	347	833
294	347	831
295	348	828
296	349	826
297	349	823
298	350	821
299	350	818
300	351	816
301	352	814
302	352	811
303	353	809
304	354	807
305	355	805
306	355	802
307	356	800
308	356	798
309	357	795
310	358	793
311	358	791
312	359	789
313	360	786
314	360	784
315	361	782
316	362	780
317	362	778
318	363	776
319	364	774
320	364	771
321	365	769
322	366	767
323	366	765
324	367	763
325	368	760
326	368	758
327	369	757
328	370	755
329	371	753
330	371	751
331	372	749
332	373	747
333	373	745
334	374	743
335	375	741
336	375	738
337	376	737
338	376	735
339	377	732
340	378	731
341	379	729
342	379	727
343	380	725
344	380	723
345	381	721
346	382	719
347	382	717
348	383	715
349	384	713
350	384	711
351	385	709
352	386	707
353	386	706
354	387	704
355	388	702
356	388	700
357	389	698
358	390	696
359	391	695
360	391	693
361	392	691
362	392	689
363	393	687
364	394	685
365	394	683
366	395	682
367	396	680
368	396	678
369	397	676
370	398	674
371	398	673
372	399	671
373	400	669
374	400	668
375	401	666
376	402	664
377	402	663
378	403	661
379	404	659
380	404	657
381	405	656
382	406	654
383	406	652
384	407	651
385	408	649
386	408	647
387	409	645
388	410	644
389	410	642
390	411	640
391	412	639
392	412	637
393	413	635
394	414	634
395	414	632
396	415	631
397	416	629
398	416	627
399	417	626
400	418	624
401	418	622
402	419	621
403	419	619
404	420	617
405	421	616
406	422	614
407	422	613
408	423	611
409	424	610
410	424	608
411	425	607
412	426	605
413	426	604
414	427	602
415	428	600
416	428	599
417	429	597
418	429	596
419	430	594
420	431	593
421	432	592
422	432	590
423	433	589
424	434	587
425	434	585
426	435	584
427	436	582
428	436	581
429	437	579
430	438	578
431	438	576
432	439	575
433	440	573
434	440	572
435	441	570
436	442	569
437	442	568
438	443	566
439	443	565
440	444	563
441	445	562
442	446	560
443	446	559
444	447	558
445	448	556
446	448	555
447	449	553
448	450	552
449	450	551
450	451	549
451	452	548
452	453	547
453	453	545
454	454	544
455	454	542
456	455	541
457	456	539
458	456	538
459	457	537
460	458	535
461	458	534
462	459	532
463	460	531
464	461	530
465	461	529
466	462	527
467	463	526
468	463	525
469	464	523
470	465	522
471	465	521
472	466	519
473	467	518
474	467	517
475	468	515
476	469	514
477	469	513
478	470	511
479	471	510
480	472	509
481	472	507
482	473	506
483	474	505
484	474	504
485	475	502
486	476	501
487	476	500
488	477	499
489	478	497
490	478	496
491	479	495
492	480	493
493	480	492
494	481	491
495	482	490
496	483	488
497	483	487
498	484	486
499	484	484
500	485	483
501	486	482
502	486	481
503	487	479
504	488	478
505	488	477
506	489	476
507	490	474
508	491	473
509	492	472
510	493	471
511	494	470
512	494	469
513	495	468
514	496	467
515	496	466
516	497	464
517	498	463
518	498	462
519	499	461
520	500	460
521	501	458
522	501	457
523	502	456
524	503	455
525	504	454
526	504	453
527	505	451
528	506	450
529	506	449
530	507	448
531	508	447
532	508	445
533	509	444
534	510	443
535	510	442
536	511	441
537	512	439
538	512	438
539	513	437
540	514	436
541	514	435
542	515	433
543	516	432
544	516	431
545	517	430
546	518	429
547	518	427
548	519	426
549	520	425
550	520	424
551	521	423
552	522	421
553	522	420
554	523	419
555	524	418
556	524	417
557	525	416
558	526	415
559	526	413
560	527	412
561	528	411
562	528	410
563	529	409
564	530	408
565	530	407
566	531	405
567	532	404
568	532	403
569	533	402
570	534	401
571	534	400
572	535	399
573	536	397
574	536	396
575	537	395
576	538	394
577	538	393
578	539	392
579	540	391
580	540	389
581	541	388
582	542	387
583	542	386
584	543	385
585	544	384
586	544	383
587	545	382
588	546	381
589	546	379
590	547	378
591	548	377
592	548	376
593	549	375
594	549	374
595	550	373
596	551	372
597	551	371
598	552	370
599	553	369
600	554	367
601	554	366
602	555	365
603	556	364
604	556	363
605	557	362
606	558	361
607	558	360
608	559	359
609	560	358
610	560	356
611	561	355
612	562	354
613	562	353
614	563	352
615	563	351
616	564	350
617	565	349
618	565	348
619	566	347
620	567	346
621	567	345
622	568	344
623	569	342
624	569	341
625	570	340
626	571	339
627	571	338
628	572	337
629	572	336
630	573	335
631	574	334
632	574	333
633	575	332
634	576	331
635	576	330
636	577	329
637	578	328
638	578	327
639	579	325
640	580	324
641	580	323
642	581	322
643	582	321
644	582	320
645	583	319
646	584	318
647	584	317
648	585	316
649	586	315
650	586	314
651	587	313
652	588	312
653	588	311
654	589	310
655	590	309
656	590	308
657	591	307
658	592	306
659	592	305
660	593	304
661	594	303
662	594	302
663	595	301
664	596	300
665	596	299
666	597	298
667	598	297
668	599	296
669	599	295
670	600	294
671	601	293
672	601	292
673	602	291
674	603	290
675	603	289
676	604	288
677	605	287
678	605	286
679	606	285
680	607	284
681	607	283
682	608	282
683	609	281
684	609	280
685	610	279
686	611	278
687	611	277
688	612	276
689	613	275
690	614	274
691	614	273
692	615	272
693	616	271
694	616	270
695	617	269
696	618	268
697	618	267
698	619	266
699	620	266
700	621	265
701	622	264
702	623	263
703	623	262
704	624	261
705	624	260
706	625	259
707	626	258
708	627	257
709	627	256
710	628	255
711	629	254
712	630	253
713	630	252
714	631	251
715	632	250
716	632	249
717	633	248
718	634	247
719	634	246
720	635	245
721	636	244
722	636	243
723	637	243
724	638	242
725	638	241
726	639	240
727	640	239
728	640	238
729	641	237
730	642	236
731	642	235
732	643	234
733	644	233
734	645	232
735	645	231
736	646	230
737	647	229
738	647	228
739	648	227
740	649	226
741	649	225
742	650	224
743	651	224
744	651	223
745	652	222
746	653	221
747	653	220
748	654	219
749	655	218
750	655	217
751	656	216
752	657	215
753	657	214
754	658	213
755	659	212
756	659	211
757	660	210
