iter	Passed	Remaining
0	136	136205
1	138	69072
2	141	46928
3	143	35704
4	145	28952
5	147	24442
6	149	21232
7	152	18857
8	154	16975
9	156	15522
10	159	14335
11	161	13335
12	164	12512
13	167	11773
14	170	11168
15	173	10645
16	176	10189
17	177	9700
18	179	9274
19	181	8890
20	183	8556
21	185	8244
22	187	7981
23	189	7702
24	191	7474
25	193	7230
26	194	7013
27	196	6828
28	198	6648
29	200	6487
30	203	6351
31	206	6254
32	209	6144
33	210	5994
34	213	5889
35	216	5794
36	219	5725
37	222	5625
38	224	5531
39	226	5443
40	228	5351
41	231	5271
42	233	5193
43	235	5116
44	237	5042
45	239	4959
46	240	4876
47	242	4805
48	243	4730
49	246	4675
50	247	4612
51	249	4548
52	251	4491
53	253	4445
54	255	4393
55	257	4336
56	258	4277
57	260	4225
58	262	4179
59	263	4127
60	264	4075
61	266	4024
62	267	3975
63	268	3925
64	269	3876
65	270	3827
66	271	3781
67	272	3734
68	273	3692
69	274	3651
70	276	3618
71	277	3577
72	278	3538
73	279	3499
74	280	3461
75	281	3423
76	282	3387
77	283	3351
78	284	3316
79	285	3282
80	286	3248
81	287	3215
82	287	3178
83	288	3145
84	289	3114
85	290	3090
86	291	3062
87	292	3033
88	293	3004
89	294	2975
90	295	2947
91	295	2920
92	296	2892
93	297	2866
94	298	2841
95	299	2816
96	299	2791
97	300	2767
98	301	2743
99	302	2721
100	303	2698
101	303	2676
102	305	2657
103	306	2637
104	306	2616
105	307	2595
106	308	2575
107	309	2555
108	310	2536
109	311	2517
110	311	2497
111	312	2478
112	313	2460
113	314	2442
114	314	2423
115	315	2405
116	316	2387
117	317	2370
118	317	2353
119	318	2336
120	319	2323
121	321	2310
122	322	2298
123	323	2285
124	325	2275
125	326	2262
126	327	2248
127	327	2234
128	328	2220
129	329	2206
130	330	2192
131	331	2178
132	332	2164
133	332	2151
134	333	2139
135	334	2127
136	336	2117
137	337	2107
138	338	2096
139	339	2086
140	340	2074
141	341	2062
142	342	2053
143	343	2042
144	344	2032
145	345	2022
146	347	2014
147	348	2006
148	349	1995
149	350	1987
150	351	1977
151	352	1967
152	353	1957
153	354	1947
154	355	1937
155	356	1927
156	357	1917
157	357	1907
158	358	1897
159	359	1888
160	360	1876
161	360	1867
162	361	1857
163	362	1848
164	363	1838
165	364	1829
166	365	1821
167	366	1813
168	367	1805
169	367	1796
170	368	1788
171	369	1780
172	370	1772
173	371	1763
174	372	1755
175	373	1746
176	373	1738
177	374	1730
178	375	1723
179	376	1714
180	377	1706
181	378	1699
